"symbol","code","name","date"
"sh688176","688176","亚虹医药","20250324" 
"sh688177","688177","百奥泰","20250324"   
"sh688178","688178","万德斯","20250324"   
"sh688179","688179","阿拉丁","20250324"   
"sh688180","688180","君实生物","20250324" 
"sh688181","688181","八亿时空","20250324" 
"sh688182","688182","灿勤科技","20250324" 
"sh688183","688183","生益电子","20250324" 
"sh688184","688184","帕瓦股份","20250324" 
"sh688185","688185","康希诺","20250324"   
"sh688186","688186","广大特材","20250324" 
"sh688187","688187","时代电气","20250324" 
"sh688188","688188","柏楚电子","20250324" 
"sh688189","688189","南新制药","20250324" 
"sh688190","688190","云路股份","20250324" 
"sh688191","688191","智洋创新","20250324" 
"sh688192","688192","迪哲医药","20250324" 
"sh688193","688193","仁度生物","20250324" 
"sh688195","688195","腾景科技","20250324" 
"sh688196","688196","卓越新能","20250324" 
"sh688197","688197","首药控股","20250324" 
"sh688198","688198","佰仁医疗","20250324" 
"sh688199","688199","久日新材","20250324" 
"sh688200","688200","华峰测控","20250324" 
"sh688201","688201","信安世纪","20250324" 
"sh688202","688202","美迪西","20250324"   
"sh688203","688203","海正生材","20250324" 
"sh688205","688205","德科立","20250324"   
"sh688206","688206","概伦电子","20250324" 
"sh688207","688207","格灵深瞳","20250324" 
"sh688208","688208","道通科技","20250324" 
"sh688209","688209","英集芯","20250324"   
"sh688210","688210","统联精密","20250324" 
"sh688211","688211","中科微至","20250324" 
"sh688212","688212","澳华内镜","20250324" 
"sh688213","688213","思特威","20250324"   
"sh688215","688215","瑞晟智能","20250324" 
"sh688216","688216","气派科技","20250324" 
"sh688217","688217","睿昂基因","20250324" 
"sh688218","688218","江苏北人","20250324" 
"sh688219","688219","会通股份","20250324" 
"sh688220","688220","翱捷科技","20250324" 
"sh688221","688221","前沿生物","20250324" 
"sh688222","688222","成都先导","20250324" 
"sh688223","688223","晶科能源","20250324" 
"sh688225","688225","亚信安全","20250324" 
"sh688226","688226","威腾电气","20250324" 
